id,employee_id,policy_id,effective_date,end_date
1,1,2,2022-03-31T00:00:00Z,
2,1,3,2022-03-31T00:00:00Z,
3,1,4,2022-03-31T00:00:00Z,
4,1,5,2022-03-31T00:00:00Z,
5,1,6,2022-03-31T00:00:00Z,
6,1,7,2022-03-31T00:00:00Z,
7,2,1,2023-12-31T00:00:00Z,
8,2,3,2023-12-31T00:00:00Z,
9,2,4,2023-12-31T00:00:00Z,
10,2,5,2023-12-31T00:00:00Z,
11,2,6,2023-12-31T00:00:00Z,
12,2,7,2023-12-31T00:00:00Z,
13,3,2,2024-11-09T00:00:00Z,
14,3,3,2024-11-09T00:00:00Z,
15,3,4,2024-11-09T00:00:00Z,
16,3,5,2024-11-09T00:00:00Z,
17,3,6,2024-11-09T00:00:00Z,
18,3,7,2024-11-09T00:00:00Z,
19,4,1,2023-01-06T00:00:00Z,
20,4,3,2023-01-06T00:00:00Z,
21,4,4,2023-01-06T00:00:00Z,
22,4,5,2023-01-06T00:00:00Z,
23,4,6,2023-01-06T00:00:00Z,
24,4,7,2023-01-06T00:00:00Z,
25,5,1,2024-03-08T00:00:00Z,
26,5,3,2024-03-08T00:00:00Z,
27,5,4,2024-03-08T00:00:00Z,
28,5,5,2024-03-08T00:00:00Z,
29,5,6,2024-03-08T00:00:00Z,
30,5,7,2024-03-08T00:00:00Z,
31,6,1,2024-05-16T00:00:00Z,
32,6,3,2024-05-16T00:00:00Z,
33,6,4,2024-05-16T00:00:00Z,
34,6,5,2024-05-16T00:00:00Z,
35,6,6,2024-05-16T00:00:00Z,
36,6,7,2024-05-16T00:00:00Z,
37,7,2,2020-07-10T00:00:00Z,
38,7,3,2020-07-10T00:00:00Z,
39,7,4,2020-07-10T00:00:00Z,
40,7,5,2020-07-10T00:00:00Z,
41,7,6,2020-07-10T00:00:00Z,
42,7,7,2020-07-10T00:00:00Z,
43,8,2,2023-05-26T00:00:00Z,
44,8,3,2023-05-26T00:00:00Z,
45,8,4,2023-05-26T00:00:00Z,
46,8,5,2023-05-26T00:00:00Z,
47,8,6,2023-05-26T00:00:00Z,
48,8,7,2023-05-26T00:00:00Z,
49,9,1,2020-08-24T00:00:00Z,
50,9,3,2020-08-24T00:00:00Z,
51,9,4,2020-08-24T00:00:00Z,
52,9,5,2020-08-24T00:00:00Z,
53,9,6,2020-08-24T00:00:00Z,
54,9,7,2020-08-24T00:00:00Z,
55,10,2,2020-03-18T00:00:00Z,
